# tass	cid	test
7.0	0.0	0.000
7.0	0.05	0.000
7.0	0.10	0.000
7.0	0.15	0.000
7.0	0.20	0.000
7.0	0.25	0.000
7.0	0.30	0.000
7.0	0.35	0.000
7.0	0.40	0.000
7.0	0.45	0.000
7.0	0.50	0.000
7.0	0.55	0.000
7.0	0.60	0.000
7.0	0.65	0.000
7.0	0.70	0.000
7.0	0.75	0.000
7.0	0.80	0.000
7.0	0.85	0.000
7.0	0.90	0.000
7.0	0.95	0.000
7.0	1.00	0.000
7.0	0.0	0.005
7.0	0.05	0.005
7.0	0.10	0.005
7.0	0.15	0.005
7.0	0.20	0.005
7.0	0.25	0.005
7.0	0.30	0.005
7.0	0.35	0.005
7.0	0.40	0.005
7.0	0.45	0.005
7.0	0.50	0.005
7.0	0.55	0.005
7.0	0.60	0.005
7.0	0.65	0.005
7.0	0.70	0.005
7.0	0.75	0.005
7.0	0.80	0.005
7.0	0.85	0.005
7.0	0.90	0.005
7.0	0.95	0.005
7.0	1.00	0.005
7.0	0.0	0.010
7.0	0.05	0.010
7.0	0.10	0.010
7.0	0.15	0.010
7.0	0.20	0.010
7.0	0.25	0.010
7.0	0.30	0.010
7.0	0.35	0.010
7.0	0.40	0.010
7.0	0.45	0.010
7.0	0.50	0.010
7.0	0.55	0.010
7.0	0.60	0.010
7.0	0.65	0.010
7.0	0.70	0.010
7.0	0.75	0.010
7.0	0.80	0.010
7.0	0.85	0.010
7.0	0.90	0.010
7.0	0.95	0.010
7.0	1.00	0.010
7.0	0.0	0.015
7.0	0.05	0.015
7.0	0.10	0.015
7.0	0.15	0.015
7.0	0.20	0.015
7.0	0.25	0.015
7.0	0.30	0.015
7.0	0.35	0.015
7.0	0.40	0.015
7.0	0.45	0.015
7.0	0.50	0.015
7.0	0.55	0.015
7.0	0.60	0.015
7.0	0.65	0.015
7.0	0.70	0.015
7.0	0.75	0.015
7.0	0.80	0.015
7.0	0.85	0.015
7.0	0.90	0.015
7.0	0.95	0.015
7.0	1.00	0.015
7.0	0.0	0.020
7.0	0.05	0.020
7.0	0.10	0.020
7.0	0.15	0.020
7.0	0.20	0.020
7.0	0.25	0.020
7.0	0.30	0.020
7.0	0.35	0.020
7.0	0.40	0.020
7.0	0.45	0.020
7.0	0.50	0.020
7.0	0.55	0.020
7.0	0.60	0.020
7.0	0.65	0.020
7.0	0.70	0.020
7.0	0.75	0.020
7.0	0.80	0.020
7.0	0.85	0.020
7.0	0.90	0.020
7.0	0.95	0.020
7.0	1.00	0.020
7.0	0.0	0.025
7.0	0.05	0.025
7.0	0.10	0.025
7.0	0.15	0.025
7.0	0.20	0.025
7.0	0.25	0.025
7.0	0.30	0.025
7.0	0.35	0.025
7.0	0.40	0.025
7.0	0.45	0.025
7.0	0.50	0.025
